Downloaded from wid.world on 11-03-2022 at 12:23:34
Percentile;Year;"anninc_992_i_BR
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2021)
Brazil";"agdpro_992_i_BR
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2021)
Brazil"
pall;2000;13674.2058;15926.391
pall;2001;13485.6378;15767.1217
pall;2002;13533.1881;15857.0349
pall;2003;13294.7964;15652.969
pall;2004;13799.6296;16170.4504
pall;2005;13897.2598;16319.8254
pall;2006;14126.7498;16601.0924
pall;2007;14723.1293;17250.8499
pall;2008;15199.4965;17778.2255
pall;2009;14826.9714;17422.319
pall;2010;15588.0637;18390.231
pall;2011;15988.0623;18781.2318
pall;2012;16099.9095;18816.6143
pall;2013;16512.7162;19062.6268
pall;2014;16202.9831;18847.4179
pall;2015;15306.9889;17885.814
pall;2016;14539.3644;17034.9365
pall;2017;14577.2125;16995.1992
pall;2018;14445.0003;16958.824
pall;2019;14386.5311;16902.7564
pall;2020;13538.8557;15993.7939
pall;2021;13985.2838;16366.6392
